Sample,Match 1 Reference,Match 1 Window,Match 2 Reference,Match 2 Window,Time to Compute (ns)
exp_signal28.csv,ref_signal1.csv,28.0 - 77.0,ref_signal2.csv,50.0 - 99.0,639299
exp_signal6.csv,ref_signal3.csv,37.0 - 86.0,ref_signal0.csv,15.0 - 64.0,342142
exp_signal36.csv,ref_signal3.csv,5.0 - 54.0,ref_signal1.csv,23.0 - 72.0,326462
exp_signal22.csv,ref_signal3.csv,43.0 - 92.0,ref_signal1.csv,8.0 - 57.0,302537
exp_signal19.csv,ref_signal1.csv,33.0 - 82.0,ref_signal3.csv,36.0 - 85.0,296296
exp_signal18.csv,ref_signal3.csv,12.0 - 61.0,ref_signal1.csv,32.0 - 81.0,350828
exp_signal37.csv,ref_signal3.csv,8.0 - 57.0,ref_signal1.csv,5.0 - 54.0,312857
exp_signal15.csv,ref_signal3.csv,8.0 - 57.0,ref_signal1.csv,5.0 - 54.0,294202
exp_signal34.csv,ref_signal1.csv,0.0 - 49.0,ref_signal3.csv,34.0 - 83.0,282049
exp_signal16.csv,ref_signal2.csv,44.0 - 93.0,ref_signal0.csv,10.0 - 59.0,298961
exp_signal13.csv,ref_signal3.csv,0.0 - 49.0,ref_signal1.csv,46.0 - 95.0,282911
exp_signal24.csv,ref_signal2.csv,3.0 - 52.0,ref_signal1.csv,1.0 - 50.0,279815
exp_signal27.csv,ref_signal1.csv,16.0 - 65.0,ref_signal3.csv,49.0 - 98.0,291396
exp_signal38.csv,ref_signal2.csv,47.0 - 96.0,ref_signal0.csv,10.0 - 59.0,285696
exp_signal2.csv,ref_signal3.csv,10.0 - 59.0,ref_signal1.csv,4.0 - 53.0,285305
exp_signal10.csv,ref_signal1.csv,35.0 - 84.0,ref_signal3.csv,38.0 - 87.0,280385
exp_signal14.csv,ref_signal0.csv,29.0 - 78.0,ref_signal3.csv,22.0 - 71.0,287690
exp_signal7.csv,ref_signal2.csv,45.0 - 94.0,ref_signal0.csv,12.0 - 61.0,279805
exp_signal17.csv,ref_signal1.csv,31.0 - 80.0,ref_signal2.csv,50.0 - 99.0,280045
exp_signal8.csv,ref_signal0.csv,37.0 - 86.0,ref_signal3.csv,3.0 - 52.0,287079
exp_signal31.csv,ref_signal1.csv,31.0 - 80.0,ref_signal2.csv,50.0 - 99.0,278231
exp_signal0.csv,ref_signal2.csv,2.0 - 51.0,ref_signal1.csv,0.0 - 49.0,275818
exp_signal1.csv,ref_signal0.csv,29.0 - 78.0,ref_signal3.csv,21.0 - 70.0,273774
exp_signal20.csv,ref_signal0.csv,43.0 - 92.0,ref_signal2.csv,9.0 - 58.0,289613
exp_signal39.csv,ref_signal2.csv,5.0 - 54.0,ref_signal0.csv,50.0 - 99.0,276448
exp_signal9.csv,ref_signal3.csv,8.0 - 57.0,ref_signal1.csv,2.0 - 51.0,281057
exp_signal32.csv,ref_signal2.csv,43.0 - 92.0,ref_signal0.csv,4.0 - 53.0,283932
exp_signal12.csv,ref_signal0.csv,17.0 - 66.0,ref_signal2.csv,50.0 - 99.0,275567
exp_signal35.csv,ref_signal1.csv,36.0 - 85.0,ref_signal3.csv,38.0 - 87.0,286137
exp_signal29.csv,ref_signal3.csv,43.0 - 92.0,ref_signal1.csv,7.0 - 56.0,280115
exp_signal26.csv,ref_signal2.csv,10.0 - 59.0,ref_signal0.csv,44.0 - 93.0,290435
exp_signal4.csv,ref_signal1.csv,11.0 - 60.0,ref_signal3.csv,46.0 - 95.0,310513
exp_signal23.csv,ref_signal0.csv,23.0 - 72.0,ref_signal2.csv,50.0 - 99.0,326182
exp_signal21.csv,ref_signal0.csv,46.0 - 95.0,ref_signal2.csv,10.0 - 59.0,289142
exp_signal11.csv,ref_signal2.csv,16.0 - 65.0,ref_signal0.csv,50.0 - 99.0,275577
exp_signal3.csv,ref_signal0.csv,10.0 - 59.0,ref_signal2.csv,48.0 - 97.0,278132
exp_signal25.csv,ref_signal1.csv,20.0 - 69.0,ref_signal3.csv,50.0 - 99.0,276800
exp_signal5.csv,ref_signal2.csv,33.0 - 82.0,ref_signal0.csv,1.0 - 50.0,289933
exp_signal30.csv,ref_signal2.csv,4.0 - 53.0,ref_signal1.csv,45.0 - 94.0,275477
exp_signal33.csv,ref_signal2.csv,12.0 - 61.0,ref_signal0.csv,46.0 - 95.0,272952
